signal_1;signal_2
1448381243501;40.1
1448381243572;40.6
1448381243642;39.9
1448381243722;39.6
1448381243802;39.8
1448381243872;40.3
1448381243952;39.5
1448381244023;39.9
1448381244102;39.6
1448381244182;39.7
1448381244252;39.6
1448381244322;39.9
1448381244391;39.8
1448381244481;39.4
1448381244562;40.1
1448381244641;39.7
1448381244722;39.9
1448381244793;39.9
1448381244863;40.5
1448381244932;40.3
1448381245012;40.3
1448381245092;40.5
1448381245162;39.8
1448381245242;39.8
1448381245321;40.2
1448381245392;39.6
1448381245422;40.3
1448381245493;39.8
1448381245572;39.9
1448381245642;39.9
1448381245723;40.9
1448381245803;40.5
1448381245872;39.7
1448381245942;40.1
1448381246012;40.1
1448381246082;40.8
1448381246152;40.1
1448381246232;39.9
1448381246311;40.1
1448381246382;39.8
1448381246451;40.7
1448381246532;40.7
1448381246611;41.0
1448381246662;40.9
1448381246732;40.1
1448381246822;40.9
1448381246893;40.3
1448381246971;40.5
1448381247052;40.7
1448381247122;40.1
1448381247192;40.4
1448381247271;40.4
1448381247352;40.7
1448381247423;40.2
1448381247462;40.9
1448381247542;41.0
1448381247642;40.3
1448381247712;40.4
1448381247781;40.5
1448381247852;40.9
1448381247922;40.4
1448381247992;40.3
1448381248062;40.1
1448381248133;40.3
1448381248202;40.2
1448381248272;40.4
1448381248342;40.4
1448381248412;40.8
1448381248491;40.2
1448381248562;40.9
1448381248632;40.6
1448381248702;40.7
1448381248772;40.5
1448381248852;40.5
1448381248932;41.1
1448381249003;41.5
1448381249072;40.6
1448381249142;40.5
1448381249212;41.1
1448381249281;40.5
1448381249322;40.8
1448381249349;41.2
1448381249392;41.5
1448381249462;40.4
1448381249501;40.4
1448381249526;40.6
1448381249593;41.0
1448381249672;40.7
1448381249711;40.7
1448381249739;40.6
1448381249783;41.4
1448381249852;40.7
1448381249922;40.6
1448381249993;40.6
1448381250063;41.1
1448381250132;40.7
1448381250212;40.8
1448381250283;40.6
1448381250351;40.4
1448381250422;40.7
1448381250492;41.5
1448381250561;40.6
1448381250632;41.9
1448381250702;40.9
1448381250772;41.0
1448381250842;40.6
1448381250912;41.0
1448381250982;41.2
1448381251052;40.9
1448381251122;41.2
1448381251192;40.9
1448381251262;41.1
1448381251331;41.1
1448381251402;41.0
1448381251482;40.8
1448381251553;40.7
1448381251622;40.8
1448381251702;40.9
1448381251773;41.4
1448381251843;41.5
1448381251912;41.4
1448381251982;40.8
1448381252052;41.4
1448381252122;41.2
1448381252193;41.6
1448381252263;42.1
1448381252332;41.8
1448381252402;41.8
1448381252472;41.9
1448381252541;41.4
1448381252612;41.8
1448381252702;41.1
1448381252773;41.2
1448381252842;41.0
1448381252912;42.0
1448381252983;41.9
1448381253052;41.1
1448381253122;40.8
1448381253192;41.4
1448381253272;41.0
1448381253341;41.9
1448381253412;41.0
1448381253482;41.1
1448381253551;40.8
1448381253622;42.1
1448381253693;41.6
1448381253762;40.9
1448381253833;41.4
1448381253902;41.7
1448381253982;41.8
1448381254052;41.0
1448381254122;41.1
1448381254192;42.0
1448381254262;41.0
1448381254331;41.5
1448381254373;41.6
1448381254442;41.9
1448381254521;41.8
1448381254592;41.4
1448381254662;41.5
1448381254732;42.0
1448381254802;41.2
1448381254872;41.9
1448381254942;42.0
1448381255012;41.7
1448381255051;41.0
1448381255078;41.7
1448381255142;41.2
1448381255232;41.5
1448381255302;41.9
1448381255372;42.3
1448381255443;42.2
1448381255513;42.1
1448381255581;41.7
1448381255652;41.9
1448381255681;41.6
1448381255752;41.5
1448381255832;41.2
1448381255903;41.5
1448381255972;41.9
1448381256042;42.2
1448381256122;42.1
1448381256192;41.9
1448381256262;42.2
1448381256341;42.1
1448381256423;41.7
1448381256492;41.6
1448381256561;41.7
1448381256632;42.0
1448381256701;41.7
1448381256772;41.6
1448381256841;41.9
1448381256912;42.1
1448381256982;42.1
1448381257062;41.7
1448381257152;42.0
1448381257232;41.8
1448381257304;41.9
1448381257392;41.7
1448381257472;41.6
1448381257541;42.0
1448381257612;42.1
1448381257682;41.8
1448381257712;42.5
1448381257782;41.9
1448381257862;41.9
1448381257932;41.8
1448381258012;41.6
1448381258082;42.3
1448381258153;41.8
1448381258232;42.1
1448381258313;41.8
1448381258383;42.1
1448381258462;42.1
1448381258532;42.0
1448381258601;42.5
1448381258673;43.0
1448381258743;41.8
1448381258822;42.2
1448381258893;41.7
1448381258972;42.1
1448381259052;42.9
1448381259122;42.0
1448381259202;42.7
1448381259272;42.1
1448381259342;41.8
1448381259412;42.7
1448381259482;42.1
1448381259552;42.0
1448381259621;42.5
1448381259702;41.9
1448381259772;42.3
1448381259852;42.0
1448381259932;42.0
1448381260003;42.2
1448381260072;42.1
1448381260142;43.0
1448381260213;42.2
1448381260282;42.0
1448381260351;42.5
1448381260422;42.6
1448381260502;43.2
1448381260572;42.6
1448381260641;42.7
1448381260722;42.2
1448381260792;42.2
1448381260862;42.2
1448381260942;42.8
1448381261032;42.3
1448381261112;42.2
1448381261182;42.5
1448381261252;42.5
1448381261330;43.1
1448381261403;42.3
1448381261472;42.2
1448381261541;43.0
1448381261611;42.2
1448381261682;43.2
1448381261753;42.2
1448381261833;42.7
1448381261902;42.2
1448381261973;42.3
1448381262042;43.0
1448381262112;43.5
1448381262182;42.3
1448381262252;42.3
1448381262322;42.3
1448381262392;43.0
1448381262472;43.5
1448381262541;42.6
1448381262612;42.3
1448381262682;42.7
1448381262752;42.9
1448381262822;42.6
1448381262902;42.5
1448381262982;43.5
1448381263052;42.5
1448381263133;42.2
1448381263202;43.6
1448381263272;42.5
1448381263341;43.2
1448381263413;42.6
1448381263482;42.3
1448381263552;42.6
1448381263621;43.0
1448381263702;42.6
1448381263792;42.3
1448381263862;42.9
1448381263942;42.3
1448381264023;42.6
1448381264092;42.6
1448381264163;42.7
1448381264242;43.5
1448381264313;43.8
1448381264382;43.5
1448381264452;42.6
1448381264522;42.7
1448381264572;43.6
1448381264662;42.9
1448381264763;42.9
1448381264832;42.8
1448381264863;43.0
1448381264932;43.0
1448381265012;42.6
1448381265083;42.7
1448381265153;43.6
1448381265222;43.1
1448381265302;42.8
1448381265372;43.5
1448381265441;43.0
1448381265522;42.7
1448381265612;42.8
1448381265692;42.8
1448381265762;42.9
1448381265832;43.2
1448381265902;43.0
1448381265983;43.0
1448381266062;42.8
1448381266143;43.8
1448381266212;42.8
1448381266292;43.4
1448381266373;43.2
1448381266441;42.9
1448381266513;43.1
1448381266601;42.9
1448381266698;43.5
1448381266771;43.4
1448381266841;43.2
1448381266912;43.5
1448381266982;43.0
1448381267052;43.2
1448381267122;44.1
1448381267192;43.0
1448381267262;43.4
1448381267332;42.9
1448381267412;43.1
1448381267503;44.1
1448381267572;44.1
1448381267642;43.1
1448381267712;43.2
1448381267752;43.2
1448381267780;43.5
1448381267822;43.8
1448381267892;43.4
1448381267932;43.8
1448381268002;43.1
1448381268082;43.4
1448381268152;43.1
1448381268222;43.5
1448381268291;43.5
1448381268361;44.2
1448381268432;43.2
1448381268502;43.8
1448381268572;43.7
1448381268641;43.1
1448381268711;44.2
1448381268782;44.2
1448381268852;44.5
1448381268922;43.7
1448381268962;43.7
1448381269032;43.2
1448381269102;43.1
1448381269172;44.1
1448381269253;44.2
1448381269321;43.9
1448381269391;44.3
1448381269472;44.4
1448381269562;44.1
1448381269641;43.2
1448381269712;43.5
1448381269782;44.4
1448381269852;43.4
1448381269932;43.6
1448381270001;43.9
1448381270082;43.7
1448381270161;43.4
1448381270232;44.1
1448381270302;43.5
1448381270371;43.8
1448381270452;43.5
1448381270533;43.5
1448381270602;44.3
1448381270671;43.5
1448381270753;44.2
1448381270842;43.4
1448381270913;43.4
1448381270992;43.7
1448381271022;43.7
1448381271051;44.2
1448381271078;44.5
1448381271142;43.4
1448381271232;43.8
1448381271302;43.9
1448381271344;44.2
1448381271412;43.7
1448381271482;43.6
1448381271552;43.9
1448381271632;43.6
1448381271712;44.6
1448381271792;43.6
1448381271882;44.1
1448381271952;43.9
1448381272032;43.8
1448381272072;43.7
1448381272152;44.1
1448381272242;43.9
1448381272313;43.8
1448381272382;43.8
1448381272451;43.7
1448381272522;43.8
1448381272602;43.6
1448381272692;43.6
1448381272762;43.8
1448381272842;44.8
1448381272922;44.2
1448381272993;44.8
1448381273062;44.2
1448381273112;43.9
1448381273182;44.2
1448381273253;44.5
1448381273332;44.4
1448381273401;44.3
1448381273472;43.9
1448381273542;43.9
1448381273612;44.8
1448381273682;44.2
1448381273762;43.8
1448381273842;44.4
1448381273912;43.9
1448381273982;43.7
1448381274053;44.2
1448381274132;44.3
1448381274212;44.1
1448381274293;45.1
1448381274373;44.5
1448381274441;45.0
1448381274522;43.9
1448381274602;44.1
1448381274671;44.4
1448381274741;43.9
1448381274812;43.9
1448381274902;44.5
1448381274982;45.1
1448381275052;43.9
1448381275122;44.1
1448381275162;43.9
1448381275232;44.2
1448381275302;44.6
1448381275382;44.3
1448381275473;44.3
1448381275552;44.4
1448381275622;44.2
1448381275701;45.0
1448381275783;44.9
1448381275852;44.4
1448381275923;44.8
1448381275992;44.3
1448381276073;44.8
1448381276153;44.1
1448381276193;45.1
1448381276262;44.3
1448381276331;45.0
1448381276402;44.4
1448381276472;44.8
1448381276551;44.5
1448381276632;45.2
1448381276701;44.9
1448381276782;44.8
1448381276852;44.3
1448381276923;44.4
1448381276991;44.8
1448381277063;44.1
1448381277131;44.3
1448381277202;45.2
1448381277292;44.8
1448381277362;44.4
1448381277402;44.5
1448381277471;44.4
1448381277552;45.2
1448381277632;44.6
1448381277712;44.9
1448381277792;45.0
1448381277872;45.2
1448381277942;44.6
1448381278012;44.9
1448381278083;44.6
1448381278153;45.1
1448381278222;45.6
1448381278252;44.9
